,url,property_name,city,rent_updated,n_bed,n_bath,sq_ft_updated,walkscore,allow_pet,minimum_lease,onsite_parking,pool,fitness_center,elevator,kitchen_features,security_system,washer_dryer,internet,air_conditioning,furnished,rent_range,sq_ft_range
1421,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,2465.0,0,1.0,540.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1422,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,2505.0,0,1.0,585.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1423,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,2455.0,1,1.0,597.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1424,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,2850.0,1,1.0,667.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1425,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,3325.0,1,1.0,735.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1426,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,3220.0,2,2.0,1094.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1427,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,3285.0,2,2.0,1020.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1428,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,3360.0,2,2.0,1077.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1429,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,3491.0,2,2.0,978.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1431,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,3621.0,2,2.0,1077.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1432,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,4055.0,2,2.0,1097.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1433,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,4176.0,2,2.0,1230.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1434,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,Avalon Dogpatch,San Francisco,5375.0,3,2.5,1445.0,92.0,1,12,0,0,1,1,8,1,1,1,1,0,0,0
1447,https://www.apartments.com/345-6th-street-san-francisco-ca/fv4cp7t/,345 6th Street,San Francisco,1845.0,0,1.0,435.0,96.0,1,12,0,0,0,1,10,1,0,1,0,0,0,0
1456,https://www.apartments.com/valley-village-retirement-community-santa-clara-ca/jfq37d6/,Valley Village Retirement Community,Santa Clara,1585.0,0,1.0,397.0,63.0,1,12,0,0,0,1,7,0,1,0,1,0,0,0
1457,https://www.apartments.com/valley-village-retirement-community-santa-clara-ca/jfq37d6/,Valley Village Retirement Community,Santa Clara,1900.0,0,1.0,285.0,63.0,1,12,0,0,0,1,7,0,1,0,1,0,0,0
1458,https://www.apartments.com/valley-village-retirement-community-santa-clara-ca/jfq37d6/,Valley Village Retirement Community,Santa Clara,1770.0,1,1.0,530.0,63.0,1,12,0,0,0,1,7,0,1,0,1,0,0,0
1459,https://www.apartments.com/valley-village-retirement-community-santa-clara-ca/jfq37d6/,Valley Village Retirement Community,Santa Clara,1940.0,1,1.0,624.0,63.0,1,12,0,0,0,1,7,0,1,0,1,0,0,0
1460,https://www.apartments.com/valley-village-retirement-community-santa-clara-ca/jfq37d6/,Valley Village Retirement Community,Santa Clara,2052.0,2,1.0,842.0,63.0,1,12,0,0,0,1,7,0,1,0,1,0,0,0
1461,https://www.apartments.com/valley-village-retirement-community-santa-clara-ca/jfq37d6/,Valley Village Retirement Community,Santa Clara,2278.0,2,1.0,864.0,63.0,1,12,0,0,0,1,7,0,1,0,1,0,0,0
1465,https://www.apartments.com/mustang-village-san-luis-obispo-ca/w3myfmh/,Mustang Village,San Luis Obispo,1284.0,0,1.0,376.0,49.0,1,12,0,1,1,0,2,1,0,0,1,0,0,0
1466,https://www.apartments.com/mustang-village-san-luis-obispo-ca/w3myfmh/,Mustang Village,San Luis Obispo,1294.0,0,1.0,376.0,49.0,1,12,0,1,1,0,2,1,0,0,1,0,0,0
1467,https://www.apartments.com/mustang-village-san-luis-obispo-ca/w3myfmh/,Mustang Village,San Luis Obispo,1294.0,0,1.0,376.0,49.0,1,12,0,1,1,0,2,1,0,0,1,0,0,0
1468,https://www.apartments.com/mustang-village-san-luis-obispo-ca/w3myfmh/,Mustang Village,San Luis Obispo,1700.0,0,1.0,376.0,49.0,1,12,0,1,1,0,2,1,0,0,1,0,0,0
1469,https://www.apartments.com/mustang-village-san-luis-obispo-ca/w3myfmh/,Mustang Village,San Luis Obispo,1879.0,0,1.0,376.0,49.0,1,12,0,1,1,0,2,1,0,0,1,0,0,0
1472,https://www.apartments.com/meridian-at-stanford-ranch-rocklin-ca/qx7bb6x/,Meridian at Stanford Ranch,Rocklin,1978.0,1,1.0,714.0,45.0,1,12,0,1,1,0,12,1,1,1,1,0,0,0
1473,https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,The Core Natomas,Sacramento,1925.0,1,1.0,735.0,17.0,1,12,0,1,1,0,12,1,1,1,1,0,0,0
1474,https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,The Core Natomas,Sacramento,1995.0,1,1.0,764.0,17.0,1,12,0,1,1,0,12,1,1,1,1,0,0,0
1475,https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,The Core Natomas,Sacramento,2375.0,2,2.0,1036.0,17.0,1,12,0,1,1,0,12,1,1,1,1,0,0,0
1476,https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,The Core Natomas,Sacramento,2450.0,2,2.0,1116.0,17.0,1,12,0,1,1,0,12,1,1,1,1,0,0,0
1477,https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,The Core Natomas,Sacramento,2645.0,2,2.0,1193.0,17.0,1,12,0,1,1,0,12,1,1,1,1,0,0,0
1478,https://www.apartments.com/the-core-natomas-sacramento-ca/tsb4xy9/,The Core Natomas,Sacramento,2850.0,3,2.0,1393.0,17.0,1,12,0,1,1,0,12,1,1,1,1,0,0,0
1481,https://www.apartments.com/new-century-commons-san-jose-ca/bsjnwdc/,New Century Commons,San Jose,2095.0,1,1.0,654.0,98.0,1,12,0,0,0,0,6,1,0,0,1,0,0,0
